Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.122-192.168.0.107-39030-21-6,192.168.0.122,39030,192.168.0.107,21,6,13/05/2025 01:05:15 PM,2799411,6,6,25.0,76.0,13.0,0.0,4.166666666666667,6.462713568360172,34.0,0.0,12.666666666666668,14.678782874157744,36.07901805058278,4.286616006009836,254491.90909090912,830532.6926214832,2758485.0,82.0,2799411.0,559882.2,1247567.2963037705,2791597.0,411.0,2797743.0,559548.6,1229311.3613833967,2758485.0,126.0,0,0,0,0,200,200,2.143308003004918,2.143308003004918,0.0,34.0,7.769230769230768,11.432073639209454,130.6923076923077,1,2,0,5,11,0,0,0,1.0,8.416666666666666,4.166666666666667,12.666666666666666,0,0,0,0,4,21225,0,2,0,6,64240,181,2,32,0,0,0,0,1.747155915433242E15,919257.6676452155,1.747155917884393E15,1.747155915118176E15,No Label
192.168.0.122-192.168.0.107-39042-21-6,192.168.0.122,39042,192.168.0.107,21,6,13/05/2025 01:05:15 PM,2799547,6,6,24.0,76.0,12.0,0.0,4.0,6.196773353931867,34.0,0.0,12.666666666666668,14.678782874157744,35.72006471046923,4.286407765256308,254504.2727272727,827255.9772549354,2748586.0,30.0,2799547.0,559909.4,1243945.2681775433,2785135.0,392.0,2797108.0,559421.6,1223853.124666845,2748586.0,1773.0,0,0,0,0,200,200,2.143203882628154,2.143203882628154,0.0,34.0,7.6923076923076925,11.397255630082002,129.89743589743588,1,2,0,5,11,0,0,0,1.0,8.333333333333334,4.0,12.666666666666666,0,0,0,0,4,21311,0,2,0,6,64240,181,2,32,0,0,0,0,1.7471559154380245E15,916538.409367624,1.747155917881836E15,1.747155915119009E15,No Label
192.168.0.122-192.168.0.107-39058-21-6,192.168.0.122,39058,192.168.0.107,21,6,13/05/2025 01:05:15 PM,2800114,6,6,28.0,76.0,16.0,0.0,4.666666666666666,7.339391437078873,34.0,0.0,12.666666666666668,14.678782874157744,37.14134495952665,4.2855398030223055,254555.81818181823,823944.6278234744,2738580.0,38.0,2800114.0,560022.8,1241783.753300147,2781370.0,379.0,2796867.0,559373.4,1218313.0721119265,2738580.0,1384.0,0,0,0,0,200,200,2.1427699015111528,2.1427699015111528,0.0,34.0,8.000000000000002,11.575836902790225,134.0,1,2,0,5,11,0,0,0,1.0,8.666666666666666,4.666666666666667,12.666666666666666,0,0,0,0,4,20347,0,2,0,6,64240,181,2,32,0,0,0,0,1.747155915440786E15,913468.3098776811,1.747155917876283E15,1.747155915118997E15,No Label
192.168.0.122-192.168.0.107-39074-21-6,192.168.0.122,39074,192.168.0.107,21,6,13/05/2025 01:05:15 PM,2800099,6,6,27.0,76.0,15.0,0.0,4.5,7.035623639735144,34.0,0.0,12.666666666666668,14.678782874157744,36.784413693944394,4.285562760459541,254554.45454545456,823935.4498820115,2738580.0,0.0,2800099.0,560019.8,1238242.9362171625,2774987.0,238.0,2796742.0,559348.4,1218310.578567017,2738580.0,0.0,0,0,0,0,200,200,2.1427813802297706,2.1427813802297706,0.0,34.0,7.923076923076923,11.521440437010893,132.74358974358975,1,2,0,5,11,0,0,0,1.0,8.583333333333334,4.5,12.666666666666666,0,0,0,0,4,47230,0,2,0,6,64240,181,2,32,0,0,0,0,1.7471559154463078E15,913885.290857638,1.747155917882917E15,1.747155915119263E15,No Label
192.168.0.107-192.168.0.122-21-39042-6,192.168.0.107,21,192.168.0.122,39042,6,13/05/2025 01:05:17 PM,1,3,0,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0,0,0,0,6.4E7,3000000.0,0.5,0.7071067811865476,1.0,0.0,1.0,0.5,0.7071067811865476,1.0,0.0,0,0,0,0,0,1,0,0,0,96,0,3000000.0,0.0,10.0,30.0,18.5,10.115993936995679,102.33333333333333,1,0,0,3,3,0,0,0,0.0,24.666666666666668,21.333333333333332,0.0,0,0,0,0,0,0,1,21,0,0,181,0,2,32,0,0,0,0,0,0,0,0,No Label
192.168.0.107-192.168.0.122-21-39074-6,192.168.0.107,21,192.168.0.122,39074,6,13/05/2025 01:05:17 PM,0,3,0,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,96,0,0.0,0.0,10.0,30.0,18.5,10.115993936995679,102.33333333333333,1,0,0,3,3,0,0,0,0.0,24.666666666666668,21.333333333333332,0.0,0,0,0,0,0,0,1,21,0,0,181,0,2,32,0,0,0,0,0,0,0,0,No Label
192.168.0.107-192.168.0.122-21-39058-6,192.168.0.107,21,192.168.0.122,39058,6,13/05/2025 01:05:17 PM,394,3,2,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0.0,0.0,0.0,0.0,162436.54822335026,12690.35532994924,98.5,92.56889326334196,197.0,1.0,394.0,197.0,277.18585822512665,393.0,1.0,41.0,41.0,0.0,41.0,41.0,1,0,0,0,96,40,7614.213197969543,5076.1421319796955,0.0,30.0,12.333333333333334,12.355835328567093,152.66666666666669,1,0,2,3,3,0,0,0,0.0,14.8,21.333333333333332,0.0,0,0,0,0,0,0,0,12,0,0,181,0,2,32,0,0,0,0,1.7471559179227055E15,79.90306627407988,1.747155917922762E15,1.747155917922649E15,No Label
192.168.0.122-192.168.0.107-39088-21-6,192.168.0.122,39088,192.168.0.107,21,6,13/05/2025 01:05:17 PM,2867427,6,6,27.0,76.0,15.0,0.0,4.5,7.035623639735144,34.0,0.0,12.666666666666668,14.678782874157744,35.92070521760449,4.184936530206349,260675.1818181818,851910.0444972835,2829137.0,35.0,2867427.0,573485.4,1278243.3388489846,2860074.0,299.0,2866735.0,573347.0,1261086.16638991,2829137.0,203.0,0,0,0,0,200,200,2.0924682651031743,2.0924682651031743,0.0,34.0,7.923076923076923,11.521440437010893,132.74358974358975,1,2,0,5,11,0,0,0,1.0,8.583333333333334,4.5,12.666666666666666,0,0,0,0,4,39705,0,2,0,6,64240,181,2,32,0,0,0,0,1.7471559182406032E15,942657.72965813,1.747155920754178E15,1.747155917917723E15,No Label
192.168.0.107-192.168.0.122-21-39088-6,192.168.0.107,21,192.168.0.122,39088,6,13/05/2025 01:05:20 PM,271,3,2,64.0,0.0,30.0,10.0,21.333333333333332,10.263202878893768,0.0,0.0,0.0,0.0,236162.36162361625,18450.18450184502,67.75,69.71549325652082,165.0,0.0,271.0,135.5,191.6259377015544,271.0,0.0,46.0,46.0,0.0,46.0,46.0,1,0,0,0,96,40,11070.110701107013,7380.073800738008,0.0,30.0,12.333333333333334,12.355835328567093,152.66666666666669,1,0,2,3,3,0,0,0,0.0,14.8,21.333333333333332,0.0,0,0,0,0,0,0,0,12,0,0,181,0,2,32,0,0,0,0,1.7471559207857825E15,84.14570696119915,1.747155920785842E15,1.747155920785723E15,No Label
192.168.0.122-192.168.0.107-39098-21-6,192.168.0.122,39098,192.168.0.107,21,6,13/05/2025 01:05:17 PM,2875861,6,6,27.0,76.0,15.0,0.0,4.5,7.035623639735144,34.0,0.0,12.666666666666668,14.678782874157744,35.81536103448671,4.172663421493598,261441.90909090906,850678.2745852222,2826126.0,41.0,2875861.0,575172.2,1278614.0878037438,2862413.0,308.0,2875321.0,575064.2,1258464.1926154275,2826126.0,982.0,0,0,0,0,200,200,2.086331710746799,2.086331710746799,0.0,34.0,7.923076923076923,11.521440437010893,132.74358974358975,1,2,0,5,11,0,0,0,1.0,8.583333333333334,4.5,12.666666666666666,0,0,0,0,4,36701,0,2,0,6,64240,181,2,32,0,0,0,0,1.747155918246265E15,942057.6292173687,1.747155920758128E15,1.747155917918604E15,No Label
