Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.100.21-192.168.100.23-62058-22-6,192.168.100.21,62058,192.168.100.23,22,6,15/06/2025 05:17:54 PM,32804,3,2,0.0,32.0,0.0,0.0,0.0,0.0,32.0,0.0,16.0,22.627416997969522,975.4907938056334,152.42043653213022,8201.0,12098.384051875137,25773.0,37.0,32804.0,16402.0,22606.203794533925,32387.0,417.0,26153.0,26153.0,0.0,26153.0,26153.0,0,0,0,0,72,52,91.45226191927814,60.96817461285209,0.0,32.0,5.333333333333334,13.063945294843617,170.66666666666669,1,2,0,1,4,0,0,0,0.0,6.4,0.0,16.0,0,0,0,0,0,0,0,0,0,6,65535,502,0,20,0,0,0,0,1.750022274393533E15,17981.725445573902,1.750022274406248E15,1.750022274380818E15,No Label
192.168.100.23-3.212.203.130-48334-443-6,192.168.100.23,48334,3.212.203.130,443,6,15/06/2025 05:18:06 PM,536016,7,7,2014.0,4957.0,1470.0,0.0,287.71428571428567,555.1968762777501,4383.0,0.0,708.1428571428571,1627.2927854334662,13005.20879973732,26.11862332467687,41232.0,57835.71744749663,132945.0,2.0,429108.0,71518.0,63511.74794634454,132989.0,1573.0,412946.0,68824.33333333334,75671.22333533842,149119.0,2.0,0,0,0,0,232,232,13.059311662338436,13.059311662338436,0.0,4383.0,464.73333333333335,1152.265375353306,1327715.495238095,1,2,0,6,13,0,0,0,1.0,497.92857142857144,287.7142857142857,708.1428571428571,0,0,0,0,6,16961,0,143,0,354,64240,121,3,32,0,0,0,0,1.750022287067763E15,147815.21482949448,1.750022287292891E15,1.750022286799129E15,No Label
192.168.100.23-3.212.203.130-48334-443-6,192.168.100.23,48334,3.212.203.130,443,6,15/06/2025 05:18:07 PM,3251,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0,0,0,0,7382.343894186404,922.7929867733005,1625.5,212.83914113715082,1776.0,1475.0,3251.0,1625.5,212.83914113715082,1776.0,1475.0,0,0,0,0,0,0,0,0,0,96,0,922.7929867733005,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,0,0,0,0,0,1,8,0,0,615,0,1,32,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-5862-6,192.168.100.21,39597,192.168.100.23,5862,6,15/06/2025 05:17:54 PM,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,500000.0,500000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-1088-6,192.168.100.21,39597,192.168.100.23,1088,6,15/06/2025 05:17:54 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-7100-6,192.168.100.21,39597,192.168.100.23,7100,6,15/06/2025 05:18:05 PM,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-726-6,192.168.100.21,39597,192.168.100.23,726,6,15/06/2025 05:18:05 PM,12,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166666.66666666666,12.0,0.0,12.0,12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,83333.33333333333,83333.33333333333,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-1186-6,192.168.100.21,39597,192.168.100.23,1186,6,15/06/2025 05:17:54 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-9917-6,192.168.100.21,39597,192.168.100.23,9917,6,15/06/2025 05:18:05 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-1501-6,192.168.100.21,39597,192.168.100.23,1501,6,15/06/2025 05:18:05 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-5500-6,192.168.100.21,39597,192.168.100.23,5500,6,15/06/2025 05:18:05 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-10243-6,192.168.100.21,39597,192.168.100.23,10243,6,15/06/2025 05:18:05 PM,18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111111,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,55555.555555555555,55555.555555555555,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-5087-6,192.168.100.21,39597,192.168.100.23,5087,6,15/06/2025 05:18:05 PM,4,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,4.0,0.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,250000.0,250000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-5960-6,192.168.100.21,39597,192.168.100.23,5960,6,15/06/2025 05:18:05 PM,24,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83333.33333333333,24.0,0.0,24.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,41666.666666666664,41666.666666666664,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-6346-6,192.168.100.21,39597,192.168.100.23,6346,6,15/06/2025 05:18:05 PM,8,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,8.0,0.0,8.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,125000.0,125000.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-617-6,192.168.100.21,39597,192.168.100.23,617,6,15/06/2025 05:18:05 PM,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666666.6666666666,3.0,0.0,3.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,333333.3333333333,333333.3333333333,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
192.168.100.21-192.168.100.23-39597-1031-6,192.168.100.21,39597,192.168.100.23,1031,6,15/06/2025 05:18:05 PM,6,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,20,166666.66666666666,166666.66666666666,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1024,0,0,24,0,0,0,0,0,0,0,0,No Label
