Source IP,Destination IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,prediction,description,confidence,timestamp
192.168.100.23,34.232.130.202,443,502149,8,8,1903.0,4978.0,1359.0,0.0,237.875,487.299097797529,2800.0,0.0,622.2500000000001,1031.8793880238968,13703.10405875547,31.863052599925524,33476.600000000006,52122.13586622427,127212.0,0.0,416008.0,59429.71428571428,61552.67597679862,127229.0,86.0,381643.0,54520.428571428565,68064.20923867193,131618.0,0.0,0,0,264,264,15.931526299962762,15.931526299962762,0.0,2800.0,404.764705882353,785.8394818132203,617543.6911764707,1,2,0,6,15,0,0,0,1.0,430.0625,237.875,622.25,0,0,118,0,311,64240,179,3,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.622584048213921,2025-06-15 17:18:52
192.168.100.23,34.232.130.202,443,1537,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,15614.83409238777,1951.8542615484712,768.5,21.920310216782973,784.0,753.0,1537.0,768.5,21.920310216782973,784.0,753.0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,1951.8542615484712,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,1,8,0,0,615,0,1,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.3001044506051938,2025-06-15 17:18:53
192.168.100.23,66.102.1.109,587,1139942,16,23,3030.0,6755.0,1683.0,0.0,189.37500000000003,457.0970538809746,2800.0,0.0,293.69565217391306,747.6975831774021,8583.770051458758,34.21226693989694,29998.47368421053,59188.06868341171,349868.0,0.0,1091064.0,72737.6,96002.99187584878,399057.0,41.0,1087222.0,49419.181818181816,71749.55169439263,349868.0,0.0,0,0,520,744,14.03580182149618,20.17646511840076,0.0,2800.0,244.62500000000009,632.4001365372304,399929.93269230775,1,2,0,23,38,0,0,0,1.0,250.89743589743588,189.375,293.69565217391306,0,0,77,0,173,64240,1041,11,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.42046060737639185,2025-06-15 17:18:54
192.168.100.23,13.248.241.7,443,394793,16,16,1747.0,7617.0,1104.0,0.0,109.1875,294.54738583121053,2896.0,0.0,476.0625,816.0137636706874,23718.75894456082,81.0551352227623,12735.258064516132,31375.319287584138,145838.0,0.0,380679.0,25378.6,54221.08131239835,180125.0,38.0,360024.0,24001.6,42244.42754595823,145838.0,0.0,0,0,544,520,40.52756761138115,40.52756761138115,0.0,2896.0,283.7575757575757,623.7327668111877,389042.56439393945,0,2,0,15,31,0,0,0,1.0,292.625,109.1875,476.0625,0,0,54,0,238,64240,326,5,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.4567210522883125,2025-06-15 17:18:55
192.168.100.23,75.2.76.8,443,1195818,24,26,4173.0,6905.0,2323.0,0.0,173.87500000000003,495.5647031417795,4383.0,0.0,265.57692307692304,849.5551858744395,9263.951537775814,41.81238282079714,24404.448979591834,56395.43558734061,333452.0,0.0,1195818.0,51992.086956521736,83473.73201842005,333452.0,120.0,1151152.0,46046.08,80066.7104315312,372510.0,0.0,0,0,800,840,20.069943753982628,21.74243906681452,0.0,4383.0,217.2156862745097,690.5811266962191,476902.2925490195,0,2,0,25,49,0,0,0,1.0,221.56,173.875,265.5769230769231,0,0,83,0,138,64240,413,8,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.42046060737639185,2025-06-15 17:18:56
192.168.100.23,66.102.1.109,587,47296,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.28687415426252,47296.0,0.0,47296.0,47296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,32,32,21.14343707713126,21.14343707713126,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,605,1041,0,32,0,0,0,0,0,0,0,0,Brute Force,Tentative de force brute,0.3270862156442034,2025-06-15 17:18:57
