Source IP,Destination IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,prediction,description,confidence,timestamp
192.168.100.23,151.101.193.229,443,80051,4,1,664.0,0.0,664.0,0.0,166.0,332.0,0.0,0.0,0.0,0.0,8294.712121022849,62.4601816342082,20012.75,23062.445033358166,46937.0,67.0,80051.0,26683.666666666668,23107.4135362081,47004.0,1548.0,0.0,0.0,0.0,0.0,0.0,0,0,136,40,49.96814530736656,12.49203632684164,0.0,664.0,110.66666666666669,271.07686486800503,73482.66666666667,1,2,0,1,4,0,0,0,0.0,132.8,166.0,0.0,0,0,132,0,0,64240,65535,1,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.602272592747866,2025-06-15 17:16:49
192.168.100.23,104.26.8.123,443,73475,4,1,666.0,0.0,666.0,0.0,166.5,333.0,0.0,0.0,0.0,0.0,9064.307587614836,68.05035726437563,18368.75,20757.0601061422,42307.0,280.0,73475.0,24491.666666666668,20813.18393070444,42587.0,1747.0,0.0,0.0,0.0,0.0,0.0,0,0,136,40,54.44028581150051,13.610071452875127,0.0,666.0,111.0,271.89336144893275,73926.0,1,2,0,1,4,0,0,0,0.0,133.2,166.5,0.0,0,0,133,0,0,64240,65535,1,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.602272592747866,2025-06-15 17:16:50
151.101.193.229,192.168.100.23,33388,29481,6,2,5086.0,0.0,2752.0,0.0,847.6666666666667,1311.4074373232245,0.0,0.0,0.0,0.0,172517.8928801601,271.3612156982463,4211.571428571429,11055.581876095332,29283.0,1.0,29481.0,5896.2,13181.508931074624,29476.0,1.0,141.0,141.0,0.0,141.0,141.0,0,0,192,40,203.5209117736848,67.84030392456158,0.0,2752.0,565.1111111111111,1120.0460308001236,1254503.1111111112,1,0,2,3,6,0,0,0,0.0,635.75,847.6666666666666,0.0,0,0,635,0,0,273,0,3,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.3235687176967135,2025-06-15 17:16:51
104.26.8.123,192.168.100.23,47396,31529,3,1,3187.0,0.0,3187.0,0.0,1062.3333333333337,1840.0153079073373,0.0,0.0,0.0,0.0,101081.54397538771,126.8673284912303,10509.666666666666,15381.375176925285,28168.0,30.0,31529.0,15764.5,17583.624327765876,28198.0,3331.0,0.0,0.0,0.0,0.0,0.0,0,0,96,20,95.15049636842272,31.71683212280757,0.0,3187.0,637.4,1425.269728858366,2031393.8,1,0,1,1,3,0,0,0,0.0,796.75,1062.3333333333333,0.0,0,0,796,0,0,16,0,1,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5355119684511906,2025-06-15 17:16:52
192.168.100.23,104.26.8.123,443,201738,10,5,863.0,3729.0,666.0,0.0,86.3,206.99761136571385,3186.0,0.0,745.8,1381.3591857297652,22762.196512308044,74.35386491389822,14409.857142857143,20991.25686440078,53946.0,1.0,201738.0,22415.33333333333,22767.43421534364,53946.0,96.0,152622.0,38155.5,47636.00177386847,98685.0,1.0,0,0,328,168,49.56924327593215,24.78462163796608,0.0,3186.0,287.0,798.1606354613086,637060.4,1,2,0,7,14,0,0,0,0.0,306.1333333333333,86.3,745.8,0,0,57,0,248,64240,16,4,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5843552605630609,2025-06-15 17:16:53
192.168.100.23,34.149.100.209,443,252688,10,5,882.0,3789.0,685.0,0.0,88.2,212.91250159005068,2800.0,0.0,757.8,1171.3518685689626,18485.246628253022,59.36174254416513,18049.14285714286,32421.228351562742,114198.0,0.0,252688.0,28076.444444444445,38470.09572743194,114198.0,77.0,200458.0,50114.5,68829.10719794837,149935.0,0.0,0,0,328,168,39.57449502944342,19.78724751472171,0.0,2800.0,291.93750000000006,706.2437226859672,498780.19583333336,1,2,0,7,14,0,0,0,0.0,311.4,88.2,757.8,0,0,58,0,252,64240,1048,4,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5843552605630609,2025-06-15 17:16:54
34.149.100.209,192.168.100.23,58236,33211,2,1,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0.0,0.0,0.0,0.0,933.4256722170364,90.33151666616484,16605.5,23414.42684543015,33162.0,49.0,33211.0,33211.0,0.0,33211.0,33211.0,0.0,0.0,0.0,0.0,0.0,1,0,64,20,60.22101111077655,30.11050555538828,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,1,0,1,1,2,0,0,0,0.0,20.666666666666668,15.5,0.0,0,0,10,0,0,1048,0,0,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5602932733047739,2025-06-15 17:16:55
192.168.100.23,142.251.37.234,443,1410028,302,394,1627.0,6699065.0,675.0,0.0,5.387417218543046,53.44005466386157,64400.0,0.0,17002.703045685284,17712.31391948358,4752169.460464614,493.6072191474212,2028.817266187051,19224.3408127712,444969.0,-6.0,1410028.0,4684.478405315615,30086.569798228888,444969.0,35.0,1150820.0,2928.295165394403,25155.16964435192,488456.0,1.0,0,0,9708,12616,214.180143940404,279.42707520701714,0.0,64400.0,9613.618364418944,15755.838586137554,248246449.552421,1,2,0,330,695,0,0,0,1.0,9627.43103448276,5.387417218543046,17002.70304568528,0,0,2,0,9625,64240,1045,9,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.3120980785809394,2025-06-15 17:16:56
142.251.37.234,192.168.100.23,54612,890,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3370.786516853933,445.0,629.3250352560273,890.0,0.0,890.0,445.0,629.3250352560273,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,3370.786516853933,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,1045,0,0,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.4991672124294523,2025-06-15 17:16:57
192.168.100.23,34.117.14.220,443,167096,10,5,869.0,3697.0,672.0,0.0,86.9,208.86489519410492,2800.0,0.0,739.4,1179.640114611232,27325.60923062192,89.76875568535453,11935.42857142857,17656.17043465492,54594.0,1.0,167096.0,18566.222222222223,19822.2677485308,54594.0,172.0,127430.0,31857.5,42568.93662832872,90896.0,1.0,0,0,328,168,59.84583712356969,29.922918561784844,0.0,2800.0,285.375,705.449254021861,497658.65,1,2,0,7,14,0,0,0,0.0,304.4,86.9,739.4,0,0,57,0,246,64240,1048,4,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5843552605630609,2025-06-15 17:16:58
