Source IP,Destination IP,Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,prediction,description,confidence,timestamp
192.168.100.23,35.244.181.201,443,252388,10,6,437.0,3782.0,197.0,0.0,43.7,68.9428910201931,2800.0,0.0,630.3333333333334,1088.1144547641425,16716.325657321267,63.39445615480926,16825.866666666665,26010.9646327046,90079.0,1.0,252388.0,28043.11111111112,34934.04745890621,90079.0,151.0,76370.0,15274.0,19943.27470602559,39039.0,1.0,0,0,328,200,39.621535096755785,23.77292105805348,0.0,2800.0,248.17647058823536,676.3276050936888,457419.02941176464,1,2,0,8,15,0,0,0,0.0,263.6875,43.7,630.3333333333334,0,0,27,0,236,64240,1050,4,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.591726572201892,2025-06-15 17:17:14
35.244.181.201,192.168.100.23,48442,17091,3,1,38.0,0.0,38.0,0.0,12.666666666666668,21.939310229205777,0.0,0.0,0.0,0.0,2223.392428763677,234.04130829091332,5697.0,9842.389394857328,17062.0,0.0,17091.0,8545.5,12085.161997259283,17091.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,96,20,175.53098121818502,58.51032707272834,0.0,38.0,15.2,20.81345718519632,433.2,1,0,1,1,3,0,0,0,0.0,19.0,12.666666666666666,0.0,0,0,9,0,0,1050,0,0,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.6533710004941308,2025-06-15 17:17:15
192.168.100.23,34.225.103.142,443,607064,7,9,2014.0,4957.0,1470.0,0.0,287.71428571428567,555.1968762777501,4383.0,0.0,550.7777777777778,1443.4572021519878,11483.13851587312,26.35636440309424,40470.93333333333,59086.72693769323,140569.0,1.0,453959.0,75659.83333333333,81312.61593483921,172936.0,1539.0,466495.0,58311.87499999999,63236.10521447719,134592.0,1.0,0,0,232,296,11.530909426353729,14.825454976740508,0.0,4383.0,410.0588235294118,1088.839776470133,1185572.0588235292,1,2,0,6,15,0,0,0,1.0,435.6875,287.7142857142857,550.7777777777778,0,0,125,0,309,64240,179,3,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5919577441071455,2025-06-15 17:17:16
192.168.100.23,34.225.103.142,443,7736,3,0,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,3102.3784901758017,387.7973112719752,3868.0,318.1980515339464,4093.0,3643.0,7736.0,3868.0,318.1980515339464,4093.0,3643.0,0.0,0.0,0.0,0.0,0.0,0,0,96,0,387.7973112719752,0.0,0.0,24.0,6.0,12.0,144.0,1,0,0,1,3,0,0,0,0.0,8.0,8.0,0.0,0,1,8,0,0,615,0,1,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.3001044506051938,2025-06-15 17:17:17
192.168.100.23,184.24.0.227,80,98404,4,3,431.0,874.0,431.0,0.0,107.75,215.5,874.0,0.0,291.3333333333333,504.6041352717329,13261.656030242671,71.13531970245111,16400.666666666664,25192.37255731716,50856.0,1.0,98404.0,32801.333333333336,28015.693482998653,50910.0,532.0,47497.0,23748.5,33584.03657245507,47496.0,1.0,0,0,136,104,40.64875411568635,30.486565586764765,0.0,874.0,163.125,324.4245179654936,105251.26785714286,0,2,0,2,6,0,0,0,0.0,186.42857142857144,107.75,291.3333333333333,0,0,61,0,124,64240,506,1,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.6865745358213289,2025-06-15 17:17:18
192.168.100.23,35.190.72.216,443,5235612,6,0,8142.0,0.0,1357.0,1357.0,1357.0,0.0,0.0,0.0,0.0,0.0,1555.119057714743,1.1459978317721025,1047122.4,852820.0047209845,2417342.0,299294.0,5235612.0,1047122.4,852820.0047209845,2417342.0,299294.0,0.0,0.0,0.0,0.0,0.0,0,0,48,0,1.1459978317721025,0.0,1357.0,1357.0,1357.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1583.1666666666667,1357.0,0.0,0,1,1357,0,0,0,0,5,8,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.37065372572821714,2025-06-15 17:17:19
192.168.100.23,35.244.181.201,443,57,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35087.71929824561,57.0,0.0,57.0,57.0,57.0,57.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0,0.0,0,0,40,0,35087.71929824561,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.47425500585016334,2025-06-15 17:17:20
192.168.100.23,151.101.65.91,443,256866,10,11,806.0,4579.0,368.0,0.0,80.6,121.84616895450137,2752.0,0.0,416.27272727272725,859.8365066579914,20964.23816308893,81.75468921538858,12843.3,21389.64029888744,66686.0,0.0,256866.0,28540.666666666668,26438.831886072425,66732.0,177.0,208129.0,20812.9,26912.36723742864,69455.0,0.0,0,0,328,360,38.93080438828027,42.8238848271083,0.0,2752.0,244.77272727272728,624.1101041306109,389513.422077922,0,2,0,10,20,0,0,0,1.0,256.42857142857144,80.6,416.27272727272725,0,0,38,0,218,64240,274,5,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.46671803874420503,2025-06-15 17:17:21
192.168.100.23,34.49.51.44,443,176827,10,8,1152.0,4124.0,672.0,0.0,115.2,210.404795044642,2800.0,0.0,515.5,951.115134986296,29837.07239279069,101.79440922483556,10401.588235294115,16935.26068244457,42744.0,1.0,140291.0,15587.888888888889,21442.524999661564,49139.0,126.0,139385.0,19912.14285714286,23034.61256043877,50489.0,1.0,0,0,328,264,56.55244956935309,45.24195965548248,0.0,2800.0,277.6842105263158,646.5438932106259,418019.00584795326,0,2,0,11,17,0,0,0,0.0,293.1111111111111,115.2,515.5,0,0,64,0,229,64240,1048,6,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.5054627606833084,2025-06-15 17:17:22
192.168.100.23,35.244.181.201,443,453873,17,15,969.0,5171.0,311.0,0.0,56.99999999999999,92.3755920143411,2800.0,0.0,344.7333333333333,715.3573000023601,13528.013342939545,70.50430406743736,14641.064516129034,28014.493920035373,123481.0,0.0,422556.0,26409.75,41181.651340534336,140673.0,74.0,417495.0,29821.07142857143,50198.718245150885,159967.0,0.0,0,0,552,488,37.4554115358261,33.048892531611266,0.0,2800.0,186.0606060606061,499.8835451503892,249883.5587121212,0,2,0,17,31,0,0,0,0.0,191.875,57.0,344.7333333333333,0,0,30,0,161,64240,1050,7,32,0,0,0,0,0,0,0,0,BENIGN,Trafic normal,0.4567210522883125,2025-06-15 17:17:23
