Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.122-192.168.0.107-45451-21-6,192.168.0.122,45451,192.168.0.107,21,6,13/05/2025 01:09:15 PM,2872001,6,6,51.0,76.0,39.0,0.0,8.5,15.69394787808345,34.0,0.0,12.666666666666668,14.678782874157744,44.220040313356435,4.178271525671474,261091.00000000003,851827.2894203378,2829233.0,68.0,2872001.0,574400.2,1281442.3599291153,2866713.0,412.0,2871341.0,574268.2,1260660.1785864816,2829233.0,464.0,0,0,0,0,200,200,2.089135762835737,2.089135762835737,0.0,39.0,9.769230769230768,14.330351508563018,205.35897435897434,1,2,0,5,11,0,0,0,1.0,10.583333333333334,8.5,12.666666666666666,0,0,0,0,4,65420,0,4,0,6,64240,181,2,32,0,0,0,0,1.7471561560878435E15,942262.8356183606,1.747156158600305E15,1.747156155765868E15,No Label
192.168.0.138-142.251.37.164-60463-443-6,192.168.0.138,60463,142.251.37.164,443,6,13/05/2025 01:09:16 PM,0,2,0,1788.0,0.0,1460.0,328.0,894.0,800.4448763031718,0,0,0,0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,40,0,0.0,0.0,328.0,1460.0,1082.6666666666667,653.5605047226563,427141.3333333333,0,0,0,1,2,0,0,0,0.0,1624.0,894.0,0.0,0,0,0,0,0,0,1,894,0,0,255,0,1,20,0,0,0,0,0,0,0,0,No Label
192.168.0.107-192.168.0.122-21-45451-6,192.168.0.107,21,192.168.0.122,45451,6,13/05/2025 01:09:18 PM,116,2,2,40.0,0.0,30.0,10.0,20.0,14.142135623730951,0.0,0.0,0.0,0.0,344827.5862068965,34482.75862068965,38.666666666666664,33.08070938376826,73.0,7.0,109.0,109.0,0.0,109.0,109.0,80.0,80.0,0.0,80.0,80.0,1,0,0,0,64,40,17241.379310344826,17241.379310344826,0.0,30.0,10.0,12.24744871391589,150.0,0,0,2,2,2,0,0,0,1.0,12.5,20.0,0.0,0,0,0,0,0,0,0,10,0,0,181,0,1,32,0,0,0,0,1.747156158638071E15,21.213203435596427,1.747156158638086E15,1.747156158638056E15,No Label
192.168.0.138-172.217.19.142-60462-443-6,192.168.0.138,60462,172.217.19.142,443,6,13/05/2025 01:09:14 PM,61131,2,0,4662.0,0.0,2430.0,2232.0,2331.0,140.0071426749364,0,0,0,0,76262.45276537273,32.71662495296985,61131.0,0.0,61131.0,61131.0,61131.0,61131.0,0.0,61131.0,61131.0,0,0,0,0,0,1,0,0,0,40,0,32.71662495296985,0.0,2232.0,2430.0,2298.0,114.3153532995459,13068.0,0,0,0,2,2,0,0,0,0.0,3447.0,2331.0,0.0,0,0,0,0,0,0,1,2331,0,0,255,0,1,20,0,0,0,0,0,0,0,0,No Label
